run_id,scenario,method,seed,target_count,start_x,start_y,home_x,home_y,mission_start_time,mission_end_time,mission_completed,returned_home,manual_intervention,collision_count,software_commit
P2_S1_B3_seed1002,S1,B3,1002,3,0.00249809855824645,-5.622679351667163e-05,0.00249809855824645,-5.622679351667163e-05,12.9,425.9,True,True,False,0,unknown
P2_S1_B3_seed1003,S1,B3,1003,3,0.0025384033046378573,-5.71468308885725e-05,0.0025384033046378573,-5.71468308885725e-05,12.9,325.3,False,False,False,0,unknown
P2_S1_B3_seed1004,S1,B3,1004,3,0.002504362250048251,-5.634418969916167e-05,0.002504362250048251,-5.634418969916167e-05,12.3,477.8,False,True,False,0,unknown
P2_S1_B3_seed1005,S1,B3,1005,3,0.0025664304362746563,-5.780640982356156e-05,0.0025664304362746563,-5.780640982356156e-05,12.4,362.0,False,False,False,0,unknown
P2_S1_B3_seed1006,S1,B3,1006,3,0.0010443798253969093,-2.308385143786735e-05,0.0010443798253969093,-2.308385143786735e-05,12.2,421.3,False,True,False,0,unknown
P2_S1_B3_seed1007,S1,B3,1007,3,2.5985475176205613e-05,-5.065646711120656e-07,2.5985475176205613e-05,-5.065646711120656e-07,11.6,413.1,False,False,False,0,unknown
P2_S1_B3_seed1008,S1,B3,1008,3,0.0009389725437197685,-2.07940309781175e-05,0.0009389725437197685,-2.07940309781175e-05,13.9,380.9,False,False,False,0,unknown
P2_S1_B3_seed1009,S1,B3,1009,3,0.003144258138584431,-7.125835846623577e-05,0.003144258138584431,-7.125835846623577e-05,13.7,306.4,False,False,False,0,unknown
P2_S1_B3_seed1010,S1,B3,1010,3,0.0025384032319509045,-5.708892256798296e-05,0.0025384032319509045,-5.708892256798296e-05,12.3,352.4,False,False,False,0,unknown
P2_S1_P_seed1001,S1,P,1001,3,0.0005646567321488014,-1.2488004354501812e-05,0.0005646567321488014,-1.2488004354501812e-05,13.0,341.7,False,False,False,0,unknown
P2_S1_P_seed1002,S1,P,1002,3,0.00026767792729294416,-5.791715095488101e-06,0.00026767792729294416,-5.791715095488101e-06,15.2,356.9,False,False,False,0,unknown
P2_S1_P_seed1003,S1,P,1003,3,0.002537033759432728,-5.696676516989246e-05,0.002537033759432728,-5.696676516989246e-05,12.0,1130.0,False,False,False,0,unknown
P2_S1_P_seed1004,S1,P,1004,3,0.00021844600253427063,-4.911785828661213e-06,0.00021844600253427063,-4.911785828661213e-06,15.1,467.5,False,False,False,0,unknown
P2_S1_P_seed1005,S1,P,1005,3,0.0010238662786769327,-2.25516462922219e-05,0.0010238662786769327,-2.25516462922219e-05,12.4,363.6,False,False,False,0,unknown
P2_S1_P_seed1006,S1,P,1006,3,0.0025656134330146476,-5.769959395452016e-05,0.0025656134330146476,-5.769959395452016e-05,12.0,632.1,False,False,False,0,unknown
P2_S1_P_seed1007,S1,P,1007,3,0.0010010274666580673,-2.2223048127079277e-05,0.0010010274666580673,-2.2223048127079277e-05,12.1,382.5,False,False,False,0,unknown
P2_S1_P_seed1008,S1,P,1008,3,0.0008221391460912477,-1.8261468559558093e-05,0.0008221391460912477,-1.8261468559558093e-05,13.4,282.3,False,False,False,0,unknown
P2_S1_P_seed1009,S1,P,1009,3,0.0008117768135144461,-1.8015380120045232e-05,0.0008117768135144461,-1.8015380120045232e-05,13.0,416.2,True,True,False,0,unknown
P2_S1_P_seed1010,S1,P,1010,3,0.000986683555320179,-2.1776496715899067e-05,0.000986683555320179,-2.1776496715899067e-05,12.8,369.7,False,True,False,0,unknown
P2_S2_B1_seed1001,S2,B1,1001,3,7.285454095971131e-06,-2.4902750690563265e-07,7.285454095971131e-06,-2.4902750690563265e-07,11.5,199.2,False,False,False,0,unknown
