run_id,scenario,method,target_id,attempt,candidate_id,angle_deg,radius_m,x,y,nav_precheck_safe,uav_safe,planner_feasible,path_length_m,planning_time_s,rejected_reason,selected
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r0.80_a120,120,0.8,14.6,5.692820323027551,True,True,True,13.659652931025033,0.2794069580268115,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.00_a330,330,1.0,15.866025403784437,4.5,True,True,True,12.343638041211168,0.25957362802000716,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.00_a120,120,1.0,14.5,5.866025403784438,True,True,True,13.578750005255626,0.2700461700151209,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.20_a330,330,1.2,16.039230484541328,4.3999999999999995,True,True,True,12.218565676280122,0.2529016209882684,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.20_a120,120,1.2,14.4,6.039230484541326,True,True,True,13.593196570324995,0.27736991198617034,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r0.80_a000,0,0.8,15.8,5.0,True,True,True,12.909763219919538,0.2700339299917687,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r0.80_a090,90,0.8,15.0,5.8,True,True,True,14.505104167260978,0.28884914799709804,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.00_a000,0,1.0,16.0,5.0,True,True,True,12.862133215509424,0.2642735840054229,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.00_a090,90,1.0,15.0,6.0,True,True,True,14.280510823808953,0.32769438801915385,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r0.80_a030,30,0.8,15.69282032302755,5.4,True,True,True,13.31982997571133,0.28529802299453877,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r0.80_a060,60,0.8,15.4,5.692820323027551,True,True,True,13.89280515486162,0.3044451599998865,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.20_a000,0,1.2,16.2,5.0,True,True,True,12.919663231869725,0.27604530900134705,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.20_a090,90,1.2,15.0,6.2,True,True,True,14.731506123645442,0.26794469699962065,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.00_a030,30,1.0,15.86602540378444,5.5,True,True,True,13.488164283121558,0.27676107702427544,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.00_a060,60,1.0,15.5,5.866025403784438,True,True,True,14.010054389491527,0.3401323139842134,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.20_a030,30,1.2,16.039230484541328,5.6,True,True,True,13.57805776649375,0.2934929379844107,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.20_a060,60,1.2,15.6,6.039230484541326,True,True,True,14.363833885779892,0.34203070600051433,,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.00_a240,240,1.0,14.5,4.133974596215562,False,True,False,,0.3652346589951776,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.00_a210,210,1.0,14.13397459621556,4.5,False,True,False,,0.31116103497333825,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r0.80_a240,240,0.8,14.6,4.307179676972449,False,True,False,,0.2984936569991987,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r0.80_a210,210,0.8,14.30717967697245,4.6,False,True,False,,0.2645400869951118,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1001,S1,B3,"plant@(15.000,5.000)",1,r1.00_a270,270,1.0,15.0,4.0,False,True,False,,0.2823149869800545,path_infeasible_under_safety_checks,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.20_a240,240,1.2,1.3999999999999995,1.960769515458674,True,True,True,2.4021980321074725,0.22605039100744762,,1
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.20_a210,210,1.2,0.9607695154586737,2.4,True,True,True,2.5982584977119902,0.2268804280029144,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.00_a240,240,1.0,1.4999999999999996,2.1339745962155616,True,True,True,2.602031634036085,0.18191591199138202,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.20_a270,270,1.2,1.9999999999999998,1.8,True,True,True,2.6786582306225384,0.20157859398750588,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.00_a210,210,1.0,1.1339745962155614,2.5,True,True,True,2.74531223429477,0.18733696700655855,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r0.80_a240,240,0.8,1.5999999999999996,2.3071796769724493,True,True,True,2.803764317979718,0.17750144301680848,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.00_a270,270,1.0,1.9999999999999998,2.0,True,True,True,2.816025931651265,0.1870167340093758,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r0.80_a210,210,0.8,1.307179676972449,2.5999999999999996,True,True,True,2.9198346466490075,0.18864279700210318,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r0.80_a270,270,0.8,1.9999999999999998,2.2,True,True,True,2.96247563771313,0.18346180199296214,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.20_a180,180,1.2,0.8,3.0,True,True,True,3.1847430226150277,0.1986107529955916,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.00_a180,180,1.0,1.0,3.0,True,True,True,3.169875174869212,0.196732003998477,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r0.80_a180,180,0.8,1.2,3.0,True,True,True,3.2416304739555724,0.2074457860144321,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.20_a300,300,1.2,2.6,1.9607695154586737,True,True,True,3.2493641108315225,0.21027757300180383,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.00_a300,300,1.0,2.5,2.1339745962155616,True,True,True,3.2803082874835803,0.21354848498594947,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r0.80_a300,300,0.8,2.4000000000000004,2.3071796769724493,True,True,True,3.3238474265494395,0.21262532999389805,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r0.80_a150,150,0.8,1.3071796769724489,3.4,True,True,True,3.697423411089156,0.2677678109903354,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.00_a150,150,1.0,1.1339745962155612,3.5,True,True,True,3.688042177210573,0.25958142199669965,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.20_a150,150,1.2,0.9607695154586735,3.5999999999999996,True,True,True,3.7664397493190878,0.2928982459998224,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r0.80_a330,330,0.8,2.6928203230275507,2.5999999999999996,True,True,True,3.7670170039224296,0.2878551940084435,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.00_a330,330,1.0,2.8660254037844384,2.4999999999999996,True,True,True,3.8177101866375125,0.28351392300100997,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.20_a330,330,1.2,3.039230484541326,2.3999999999999995,True,True,True,3.862814351084195,0.26991924399044365,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r0.80_a000,0,0.8,2.8,3.0,True,True,True,4.198710423429075,0.28500207501929253,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.00_a120,120,1.0,1.5000000000000002,3.866025403784439,True,True,True,4.349087003878647,0.30813820200273767,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.00_a000,0,1.0,3.0,3.0,True,True,True,4.262439227569819,0.30592200299724936,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.20_a120,120,1.2,1.4000000000000004,4.039230484541326,True,True,True,4.307100999716338,0.29646297299768776,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r0.80_a030,30,0.8,2.692820323027551,3.4,True,True,True,4.6843439254528665,0.3269882019958459,,0
P2_S1_B3_seed1002,S1,B3,"plant@(2.000,3.000)",1,r1.20_a000,0,1.2,3.2,3.0,True,True,True,4.391661197065614,0.32704302499769256,,0
