run_id,scenario,method,seed,target_count,start_x,start_y,home_x,home_y,mission_start_time,mission_end_time,mission_completed,returned_home,manual_intervention,collision_count,software_commit,targets_attempted,targets_successful,mean_path_length_m,mean_actual_path_length_m,mean_navigation_time_s,mean_total_target_time_s,mean_approach_error_m,mean_planning_time_s,total_replans,total_recoveries,mean_attempt_count,target_success_rate_pct
P2_S1_P_seed1008,S1,P,1008,3,0.0008221391460912477,-1.8261468559558093e-05,0.0008221391460912477,-1.8261468559558093e-05,13.4,282.3,False,False,False,0,unknown,3,2,0.9099107180109361,9.787268898259327,6.100000000000012,142.25,1.1257127011517576,3.0153053849644493,4,4,2.0,66.66666666666667
P2_S1_P_seed1009,S1,P,1009,3,0.0008117768135144461,-1.8015380120045232e-05,0.0008117768135144461,-1.8015380120045232e-05,13.0,416.2,True,True,False,0,unknown,3,3,4.136467809308467,8.943076899846837,13.900000000000007,202.33333333333334,1.1142095125351812,0.14600243766714507,3,1,2.0,100.0
P2_S1_P_seed1010,S1,P,1010,3,0.000986683555320179,-2.1776496715899067e-05,0.000986683555320179,-2.1776496715899067e-05,12.8,369.7,False,True,False,0,unknown,3,2,2.2741140695067696,8.083745891149087,3.5000000000000178,146.70000000000002,1.096208281151498,3.288464871351607,2,0,1.6666666666666667,66.66666666666667
P2_S2_B1_seed1001,S2,B1,1001,3,7.285454095971131e-06,-2.4902750690563265e-07,7.285454095971131e-06,-2.4902750690563265e-07,11.5,199.2,False,False,False,0,unknown,3,1,,1.0426242581957985,9.100000000000001,14.5,1.1216788887305422,,0,0,1.0,33.333333333333336
P2_S2_B1_seed1002,S2,B1,1002,3,0.0003167554619835967,-6.803593277152373e-06,0.0003167554619835967,-6.803593277152373e-06,12.4,238.5,True,True,False,0,unknown,3,3,,10.943949327494499,46.166666666666664,77.93333333333334,1.0685838671925447,,0,0,1.0,100.0
P2_S2_B1_seed1003,S2,B1,1003,3,0.0025051335198622523,-5.634040538273581e-05,0.0025051335198622523,-5.634040538273581e-05,12.8,195.3,False,False,False,0,unknown,3,1,,1.052589635509489,9.7,15.0,1.0873456952072118,,0,0,1.0,33.333333333333336
P2_S2_B1_seed1004,S2,B1,1004,3,0.002469723094635235,-5.546486928651016e-05,0.002469723094635235,-5.546486928651016e-05,12.3,237.4,True,True,False,0,unknown,3,3,,10.89312007099727,45.53333333333333,77.03333333333333,1.0905403889759346,,0,0,1.0,100.0
P2_S2_B1_seed1005,S2,B1,1005,3,0.003178140363027908,-7.216956435062081e-05,0.003178140363027908,-7.216956435062081e-05,14.1,199.6,False,False,False,0,unknown,3,1,,1.0619117224334407,9.7,15.0,1.065743973655108,,0,0,1.0,33.333333333333336
P2_S2_B1_seed1006,S2,B1,1006,3,0.0007499261718511184,-1.656091957938654e-05,0.0007499261718511184,-1.656091957938654e-05,13.7,195.3,False,False,False,0,unknown,3,1,,1.0493443341491728,9.7,14.999999999999996,1.081594729945537,,0,0,1.0,33.333333333333336
P2_S2_B1_seed1007,S2,B1,1007,3,0.003482442439319936,-7.94379240203448e-05,0.003482442439319936,-7.94379240203448e-05,15.1,199.1,False,False,False,0,unknown,3,1,,1.0387583479202427,9.3,14.600000000000001,1.1042625637906633,,0,0,1.0,33.333333333333336
P2_S2_B1_seed1008,S2,B1,1008,3,0.0025029929221659485,-5.6279605533981235e-05,0.0025029929221659485,-5.6279605533981235e-05,12.5,199.9,False,False,False,0,unknown,3,1,,1.0490595884049616,9.8,15.100000000000001,1.087634861329516,,0,0,1.0,33.333333333333336
P2_S2_B1_seed1009,S2,B1,1009,3,0.000995928455605092,-2.213671576461732e-05,0.000995928455605092,-2.213671576461732e-05,12.5,195.6,False,False,False,0,unknown,3,1,,1.0337377729278716,9.7,15.0,1.0710464724152073,,0,0,1.0,33.333333333333336
P2_S2_B1_seed1010,S2,B1,1010,3,0.0010532626082831538,-2.334511999505789e-05,0.0010532626082831538,-2.334511999505789e-05,12.9,195.9,False,False,False,0,unknown,3,1,,1.0258976768014263,9.7,15.0,1.0878355588741602,,0,0,1.0,33.333333333333336
P2_S2_B2_seed1001,S2,B2,1001,3,1.3695147285134504e-06,-8.141500904966399e-08,1.3695147285134504e-06,-8.141500904966399e-08,11.4,187.5,False,False,False,0,unknown,3,0,6.800085074038163,6.789415592106847,,,,0.2303460100083612,0,0,1.0,0.0
P2_S2_B2_seed1002,S2,B2,1002,3,0.0007802597735235544,-1.728586622538984e-05,0.0007802597735235544,-1.728586622538984e-05,13.8,83.3,False,False,False,0,unknown,3,0,6.800085074038163,7.129024989447021,,,,0.23768577650480438,0,0,1.0,0.0
P2_S2_B2_seed1003,S2,B2,1003,3,5.4013809249557745e-05,-1.17898637511883e-06,5.4013809249557745e-05,-1.17898637511883e-06,10.2,79.5,False,False,False,0,unknown,3,0,6.784964288863963,7.085905049440722,,,,0.24508872898877598,0,0,1.0,0.0
P2_S2_B2_seed1004,S2,B2,1004,3,0.002469723169647402,-5.552114710260752e-05,0.002469723169647402,-5.552114710260752e-05,12.9,78.2,False,False,False,0,unknown,3,0,6.829270822386609,7.086912880096692,,,,0.23711401599575765,0,0,1.0,0.0
P2_S2_B2_seed1005,S2,B2,1005,3,0.002740539820205676,-6.176184607771155e-05,0.002740539820205676,-6.176184607771155e-05,12.5,120.5,False,False,False,0,unknown,3,0,6.800085074038163,6.783009442274638,,,,0.22135193498979788,0,0,1.0,0.0
P2_S2_B2_seed1006,S2,B2,1006,3,0.000796111436367731,-1.765092528822239e-05,0.000796111436367731,-1.765092528822239e-05,12.8,78.6,False,False,False,0,unknown,3,0,6.800085074038163,7.183823106676144,,,,0.2696074780105846,0,0,1.0,0.0
P2_S2_B2_seed1007,S2,B2,1007,3,0.0026100380966934994,-5.877132527681835e-05,0.0026100380966934994,-5.877132527681835e-05,12.6,121.2,False,False,False,0,unknown,3,0,6.800085074038163,6.809775343824895,,,,0.23364033849793486,0,0,1.0,0.0
P2_S2_B2_seed1008,S2,B2,1008,3,1.452489687403837e-05,-3.792751055246641e-07,1.452489687403837e-05,-3.792751055246641e-07,11.5,119.5,False,False,False,0,unknown,3,0,6.800085074038163,7.065436964970269,,,,0.2343573859980097,0,0,1.0,0.0
P2_S2_B2_seed1009,S2,B2,1009,3,0.003275051213889843,-7.459605352080132e-05,0.003275051213889843,-7.459605352080132e-05,14.4,122.1,False,False,False,0,unknown,3,0,6.800085074038163,7.106669917479591,,,,0.23228871851461008,0,0,1.0,0.0
P2_S2_B2_seed1010,S2,B2,1010,3,0.0025656134721690578,-5.77386245563304e-05,0.0025656134721690578,-5.77386245563304e-05,12.4,81.2,False,False,False,0,unknown,3,0,6.829270822386609,7.1489240194625445,,,,0.23493516400048975,0,0,1.0,0.0
P2_S2_B3_seed1001,S2,B3,1001,3,0.003139001007354278,-7.128930510702538e-05,0.003139001007354278,-7.128930510702538e-05,14.0,271.0,True,True,False,0,unknown,3,3,0.5870627275544508,10.780862237163769,5.399999999999994,92.76666666666665,1.1097391248640094,0.0541224259941373,4,0,2.3333333333333335,100.0
P2_S2_B3_seed1002,S2,B3,1002,3,0.0010657439400396608,-2.3566746300863835e-05,0.0010657439400396608,-2.3566746300863835e-05,13.0,269.3,True,True,False,0,unknown,3,3,0.5746202439403709,10.791347947720206,4.366666666666672,89.5,1.1123500685209076,0.04754369933895456,4,0,2.3333333333333335,100.0
P2_S2_B3_seed1003,S2,B3,1003,3,0.0010117313552773569,-2.233947116664049e-05,0.0010117313552773569,-2.233947116664049e-05,12.8,262.6,True,True,False,0,unknown,3,3,0.5748939031107617,10.745762503441718,4.16666666666666,89.73333333333333,1.111761695900878,0.049897306986774005,4,0,2.3333333333333335,100.0
P2_S2_B3_seed1004,S2,B3,1004,3,0.002132146869144584,-4.7608419441917595e-05,0.002132146869144584,-4.7608419441917595e-05,11.1,312.1,True,True,False,0,unknown,3,3,0.5748939031107617,10.7955243864018,3.933333333333328,89.3,1.0996502543803324,0.051286528333245464,4,0,2.3333333333333335,100.0
P2_S2_B3_seed1005,S2,B3,1005,3,0.0003152718627529631,-6.971243938167669e-06,0.0003152718627529631,-6.971243938167669e-06,12.5,309.0,True,True,False,0,unknown,3,3,0.575016128117183,10.775433105635736,4.333333333333336,87.26666666666667,1.1191806113842266,0.049350830658416577,3,0,2.0,100.0
P2_S2_B3_seed1006,S2,B3,1006,3,0.0005663213582282411,-1.2463779091528554e-05,0.0005663213582282411,-1.2463779091528554e-05,13.2,348.6,True,True,False,0,unknown,3,3,0.5930231250609416,10.757578591103716,3.8333333333333286,89.0,1.110993604728404,0.05046208365820348,4,0,2.3333333333333335,100.0
P2_S2_B3_seed1007,S2,B3,1007,3,0.00038237828033135595,-8.351048820848184e-06,0.00038237828033135595,-8.351048820848184e-06,12.6,272.2,True,True,False,0,unknown,3,3,0.5910764127179594,10.744903340656782,4.533333333333329,90.33333333333333,1.1230188642578145,0.05158616833311195,4,0,2.3333333333333335,100.0
P2_S2_B3_seed1008,S2,B3,1008,3,0.0010794530282990523,-2.3909953724549707e-05,0.0010794530282990523,-2.3909953724549707e-05,13.6,317.1,True,True,False,0,unknown,3,3,0.5704711447675619,10.716683746410867,3.93333333333333,89.89999999999999,1.1209185167559719,0.049177875994549446,4,0,2.3333333333333335,100.0
P2_S2_B3_seed1009,S2,B3,1009,3,0.001000493479278051,-2.220012840215951e-05,0.001000493479278051,-2.220012840215951e-05,14.5,308.9,True,True,False,0,unknown,3,3,0.5985880438614019,10.729534874003457,3.8666666666666742,89.96666666666665,1.1316249236288805,0.04867855101474561,4,0,2.3333333333333335,100.0
P2_S2_B3_seed1010,S2,B3,1010,3,0.000513088318085045,-1.1242198398005729e-05,0.000513088318085045,-1.1242198398005729e-05,13.0,263.1,True,True,False,0,unknown,3,3,0.5955984485642088,10.767344480663246,4.166666666666669,90.0,1.1128264421811453,0.05016283234969402,4,0,2.3333333333333335,100.0
P2_S2_P_seed1001,S2,P,1001,3,0.002599904665729962,-5.862171034093532e-05,0.002599904665729962,-5.862171034093532e-05,12.4,352.7,True,True,False,0,unknown,3,3,0.5882278794552102,10.798545324320658,3.733333333333332,93.60000000000001,1.1040011960099358,0.052253193338401616,4,0,2.3333333333333335,100.0
P2_S2_P_seed1002,S2,P,1002,3,2.7006909850535837e-05,-5.893602591656058e-07,2.7006909850535837e-05,-5.893602591656058e-07,10.9,278.3,True,True,False,0,unknown,3,3,0.5857765273831658,10.751196841480827,3.9000000000000057,90.43333333333334,1.1108972106642245,0.0487009683274664,4,0,2.3333333333333335,100.0
P2_S2_P_seed1003,S2,P,1003,3,0.001025434110652548,-2.2679335006865186e-05,0.001025434110652548,-2.2679335006865186e-05,12.6,268.7,True,True,False,0,unknown,3,3,0.5696965240337382,10.775687662219633,3.93333333333333,88.7,1.1007051612813699,0.05036290165541383,4,0,2.3333333333333335,100.0
P2_S2_P_seed1004,S2,P,1004,3,0.0024697230544568067,-5.54273507294091e-05,0.0024697230544568067,-5.54273507294091e-05,12.1,294.1,True,True,False,0,unknown,3,3,0.5748939031107617,10.783021870187914,3.766666666666673,90.86666666666667,1.121510151026321,0.05735011700501976,4,0,2.3333333333333335,100.0
P2_S2_P_seed1005,S2,P,1005,3,0.0010348644312721963,-2.2987171625120818e-05,0.0010348644312721963,-2.2987171625120818e-05,13.7,258.2,True,True,False,0,unknown,3,3,0.5748939031107617,10.747755420352815,3.7333333333333365,88.3,1.110767508953994,0.05000905767277194,4,0,2.3333333333333335,100.0
P2_S2_P_seed1006,S2,P,1006,3,0.0031390437513125757,-7.135843605878128e-05,0.0031390437513125757,-7.135843605878128e-05,14.0,267.0,True,True,False,0,unknown,3,3,0.581741012952263,10.779885893839094,4.7999999999999945,91.03333333333332,1.1146969133755733,0.048874527002529554,4,0,2.3333333333333335,100.0
P2_S2_P_seed1007,S2,P,1007,3,0.0007990019860394942,-1.7590607993715262e-05,0.0007990019860394942,-1.7590607993715262e-05,12.9,268.1,True,True,False,0,unknown,3,3,0.5859214040054681,10.721504929718469,3.833333333333331,88.83333333333333,1.1226099440043384,0.05303037667181343,4,0,2.3333333333333335,100.0
P2_S2_P_seed1008,S2,P,1008,3,1.452489687403837e-05,-3.7927510552433883e-07,1.452489687403837e-05,-3.7927510552433883e-07,11.5,312.8,True,True,False,0,unknown,3,3,0.5911986377243806,10.760971120596558,3.8000000000000065,86.13333333333333,1.1004300001599796,0.05179054867282199,3,0,2.0,100.0
P2_S2_P_seed1009,S2,P,1009,3,0.0008618268829666573,-1.8963977875816642e-05,0.0008618268829666573,-1.8963977875816642e-05,13.4,349.2,True,True,False,0,unknown,3,3,0.5906980510656897,10.763774243251225,4.2,91.26666666666667,1.1166246160107494,0.04954831400148881,4,0,2.3333333333333335,100.0
P2_S2_P_seed1010,S2,P,1010,3,3.190141504722801e-05,-6.747425155747482e-07,3.190141504722801e-05,-6.747425155747482e-07,12.0,285.2,False,False,False,0,unknown,3,3,0.5639842782646148,10.771732112217839,3.5999999999999965,89.3,1.1328278204174227,0.04576766198927847,4,0,2.3333333333333335,100.0
P2_S3_B1_seed1001,S3,B1,1001,3,0.0010259822429328728,-2.2751928121012634e-05,0.0010259822429328728,-2.2751928121012634e-05,13.6,304.2,False,False,False,0,unknown,3,1,,1.114170828526768,9.600000000000001,14.899999999999999,1.0799612617876444,,0,0,1.0,33.333333333333336
P2_S3_B1_seed1002,S3,B1,1002,3,0.00037515928995783586,-8.266448206954397e-06,0.00037515928995783586,-8.266448206954397e-06,12.6,199.8,False,False,False,0,unknown,3,1,,1.048624175708607,9.8,15.100000000000001,1.070976121484112,,0,0,1.0,33.333333333333336
P2_S3_B1_seed1003,S3,B1,1003,3,0.0024697230946352346,-5.546486928650944e-05,0.0024697230946352346,-5.546486928650944e-05,12.3,178.2,False,False,False,0,unknown,3,3,,10.943560146377584,47.0,79.5,1.0899709471606276,,0,0,1.0,100.0
P2_S3_B1_seed1004,S3,B1,1004,3,0.003011006954683963,-6.826426128031837e-05,0.003011006954683963,-6.826426128031837e-05,14.1,199.3,False,False,False,0,unknown,3,1,,1.087902409276358,9.7,15.0,1.078140725568511,,0,0,1.0,33.333333333333336
P2_S3_B1_seed1005,S3,B1,1005,3,0.0008839838579254271,-1.9602420432262223e-05,0.0008839838579254271,-1.9602420432262223e-05,13.4,177.2,False,False,False,0,unknown,3,3,,10.893158173429024,45.46666666666666,77.36666666666666,1.095070098244043,,0,0,1.0,100.0
P2_S3_B1_seed1006,S3,B1,1006,3,0.0010372721622598125,-2.3013079079416024e-05,0.0010372721622598125,-2.3013079079416024e-05,12.7,269.4,False,False,False,0,unknown,3,1,,1.0752412165542882,9.699999999999996,14.999999999999996,1.079140422704044,,0,0,1.0,33.333333333333336
P2_S3_B1_seed1007,S3,B1,1007,3,0.0009657748886142373,-2.1359927064771172e-05,0.0009657748886142373,-2.1359927064771172e-05,13.3,281.7,False,False,False,0,unknown,3,1,,1.0881966383249249,9.8,15.100000000000001,1.0750330791696265,,0,0,1.0,33.333333333333336
P2_S3_B1_seed1008,S3,B1,1008,3,0.0004516268399393044,-9.83983792233697e-06,0.0004516268399393044,-9.83983792233697e-06,12.9,195.4,False,False,False,0,unknown,3,1,,1.0561719155468534,9.8,15.100000000000001,1.0699854248267258,,0,0,1.0,33.333333333333336
P2_S3_B1_seed1009,S3,B1,1009,3,0.0026736374369300225,-6.0281154902588384e-05,0.0026736374369300225,-6.0281154902588384e-05,12.8,170.9,False,False,False,0,unknown,3,1,,1.0241241025249246,9.2,14.5,1.1460509002465236,,0,0,1.0,33.333333333333336
P2_S3_B1_seed1010,S3,B1,1010,3,0.0010199923162303,-2.2625818769395143e-05,0.0010199923162303,-2.2625818769395143e-05,14.3,199.3,False,False,False,0,unknown,3,1,,1.050988765687004,9.499999999999996,14.799999999999997,1.0863935572923735,,0,0,1.0,33.333333333333336
P2_S3_B2_seed1001,S3,B2,1001,3,0.0010280343102086747,-2.2925277641989655e-05,0.0010280343102086747,-2.2925277641989655e-05,14.6,79.7,False,True,False,0,unknown,3,0,3.169875174869212,2.9715626071015873,,,,0.20340214198222384,0,0,1.0,0.0
P2_S3_B2_seed1002,S3,B2,1002,3,0.0025728526929999765,-5.786043086869687e-05,0.0025728526929999765,-5.786043086869687e-05,12.2,57.1,False,False,False,0,unknown,3,0,3.169875174869212,2.9629169917128007,,,,0.20587703998899087,0,0,1.0,0.0
